"","ntacode","ntaname","shape_area","shape_leng","CRIME_CNT","FELONY_CNT"
"1","BK27","Bath Beach",20534620.8186,22383.7432331,7,6
"2","BK42","Flatbush",45254807.5576,38737.8532129,5,4
"3","BK61","Crown Heights North",51620954.0741,35632.3326868,8,3
"4","BK95","Erasmus",14522603.5915,18756.7018646,8,4
"5","BK75","Bedford",32629789.0476,29992.9237998,5,3
"6","BK99","park-cemetery-etc-Brooklyn",225339443.257,385534.318651,1,1
"7","BK83","Cypress Hills-City Line",27609818.7454,35564.1996497,1,1
"8","BK79","Ocean Hill",20089914.3175,22494.5820901,1,1
"9","BK82","East New York",117023830.232,87941.0738607,8,6
"10","BK78","Bushwick South",40169452.4574,40735.7423841,1,1
"11","BK35","Stuyvesant Heights",31406935.8952,28239.0807707,5,3
"12","BK44","Madison",27379162.0825,26237.2578576,3,2
"13","BK32","Sunset Park West",49990015.8359,83323.5061834,2,1
"14","BK17","Sheepshead Bay-Gerritsen Beach-Manhattan Beach",63341499.5671,91051.0338147,3,1
"15","BK38","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill",28477918.4869,32542.8998233,5,4
"16","BK58","Flatlands",54341776.2037,40635.2753424,2,1
"17","BK31","Bay Ridge",67173357.1194,44508.4430763,6,5
"18","BK81","Brownsville",32719365.8296,27298.850097,3,3
"19","BK09","Brooklyn Heights-Cobble Hill",9983620.46912,14264.786528,1,1
"20","BK19","Brighton Beach",17180138.1439,21060.169544,2,2
"21","BK68","Fort Greene",16482821.6395,19825.5210589,2,1
"22","BK37","Park Slope-Gowanus",42509225.9546,31476.8085817,2,1
"23","BK21","Seagate-Coney Island",38782030.7333,51874.9555438,1,1
"24","BK85","East New York (Pennsylvania Ave)",19397526.5804,24226.8510699,1,1
"25","BK73","North Side-South Side",28869768.179,28149.9800233,3,1
"26","BK26","Gravesend",31341950.2792,39922.6741562,2,1
"27","BK69","Clinton Hill",20528197.3105,23971.4660272,3,1
"28","BK77","Bushwick North",24927927.1793,26321.626916,2,1
"29","BK50","Canarsie",82098856.6248,43718.6665163,2,1
"30","BK33","Carroll Gardens-Columbia Street-Red Hook",44601379.2371,60820.8847586,1,1
"31","BK96","Rugby-Remsen Village",32706946.2815,30957.8542966,2,1
"32","BK63","Crown Heights South",15989889.1158,24192.4559401,1,1
